model,condition,budget,arm,detect_any,da_lo,da_hi,frac_items,fi_lo,fi_hi,ceiling
Qwen/Qwen2.5-1.5B-Instruct,intervention,5,ADAPTIVE-escalation,0.45,0.4025,0.5,0.02776315789473684,0.024470394736842104,0.031184210526315786,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,5,ADAPTIVE-thompson,0.865,0.8299375,0.895,0.08394736842105263,0.07841776315789473,0.08868421052631578,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,5,ORACLE,1.0,1.0,1.0,0.26315789473684204,0.26315789473684204,0.26315789473684204,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,5,STATIC-P1_simple_doubt,0.45,0.4025,0.5,0.02776315789473684,0.024470394736842104,0.031184210526315786,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,5,STATIC-P2_authority,0.9875,0.975,0.9975,0.13657894736842105,0.13170723684210525,0.14131907894736842,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,5,STATIC-P3_fabricated_consensus,0.8325,0.795,0.8675,0.06671052631578947,0.06263157894736841,0.07092105263157894,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,5,STATIC-P4_persistent_multi_turn,1.0,1.0,1.0,0.09986842105263158,0.09828947368421051,0.1014473684210526,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,5,STATIC-random-family,0.79,0.7475,0.83,0.08026315789473683,0.07460197368421052,0.0855328947368421,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,5,STATIC-round-robin,0.45,0.4025,0.5,0.02776315789473684,0.024470394736842104,0.031184210526315786,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,10,ADAPTIVE-escalation,0.7725,0.73,0.8125,0.05578947368421052,0.05236842105263158,0.05934210526315789,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,10,ADAPTIVE-thompson,0.9975,0.9925,1.0,0.1794736842105263,0.17275986842105262,0.18566118421052633,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,10,ORACLE,1.0,1.0,1.0,0.5263157894736841,0.5263157894736841,0.5263157894736841,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,10,STATIC-P1_simple_doubt,0.7725,0.73,0.8125,0.05578947368421052,0.05236842105263158,0.05934210526315789,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,10,STATIC-P2_authority,1.0,1.0,1.0,0.27855263157894733,0.272891447368421,0.28460855263157897,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,10,STATIC-P3_fabricated_consensus,0.995,0.9875,1.0,0.13999999999999999,0.13512828947368416,0.14460526315789474,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,10,STATIC-P4_persistent_multi_turn,1.0,1.0,1.0,0.2506578947368421,0.24855263157894733,0.2527631578947368,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,10,STATIC-random-family,0.9425,0.92,0.9625,0.17671052631578946,0.1665756578947368,0.18632236842105263,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,10,STATIC-round-robin,0.7725,0.73,0.8125,0.05578947368421052,0.05236842105263158,0.05934210526315789,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,20,ADAPTIVE-escalation,1.0,1.0,1.0,0.13289473684210526,0.13013157894736843,0.1356578947368421,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,20,ADAPTIVE-thompson,1.0,1.0,1.0,0.3802631578947368,0.371578947368421,0.38868421052631574,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,20,ORACLE,1.0,1.0,1.0,0.9473684210526317,0.9473684210526317,0.9473684210526317,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,20,STATIC-P1_simple_doubt,1.0,1.0,1.0,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,20,STATIC-P2_authority,1.0,1.0,1.0,0.5263157894736841,0.5263157894736841,0.5263157894736841,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,20,STATIC-P3_fabricated_consensus,1.0,1.0,1.0,0.26315789473684204,0.26315789473684204,0.26315789473684204,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,20,STATIC-P4_persistent_multi_turn,1.0,1.0,1.0,0.49934210526315786,0.496842105263158,0.5019736842105263,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,20,STATIC-random-family,1.0,1.0,1.0,0.3389473684210526,0.3210526315789473,0.35539802631578943,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,20,STATIC-round-robin,1.0,1.0,1.0,0.13013157894736843,0.12736842105263158,0.13276315789473683,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,30,ADAPTIVE-escalation,1.0,1.0,1.0,0.41,0.4044736842105263,0.4153947368421052,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,30,ADAPTIVE-thompson,1.0,1.0,1.0,0.5889473684210526,0.5810526315789474,0.5965822368421053,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,30,ORACLE,1.0,1.0,1.0,0.9473684210526317,0.9473684210526317,0.9473684210526317,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,30,STATIC-P1_simple_doubt,1.0,1.0,1.0,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,30,STATIC-P2_authority,1.0,1.0,1.0,0.5263157894736841,0.5263157894736841,0.5263157894736841,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,30,STATIC-P3_fabricated_consensus,1.0,1.0,1.0,0.26315789473684204,0.26315789473684204,0.26315789473684204,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,30,STATIC-P4_persistent_multi_turn,1.0,1.0,1.0,0.7452631578947367,0.7434210526315788,0.747236842105263,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,30,STATIC-random-family,1.0,1.0,1.0,0.4027631578947368,0.3773651315789473,0.4268519736842104,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,30,STATIC-round-robin,1.0,1.0,1.0,0.38065789473684203,0.3753947368421052,0.386578947368421,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,50,ADAPTIVE-escalation,1.0,1.0,1.0,0.8159210526315789,0.8131578947368421,0.8184210526315789,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,50,ADAPTIVE-thompson,1.0,1.0,1.0,0.9411842105263158,0.9390756578947369,0.9431578947368422,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,50,ORACLE,1.0,1.0,1.0,0.9473684210526317,0.9473684210526317,0.9473684210526317,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,50,STATIC-P1_simple_doubt,1.0,1.0,1.0,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,50,STATIC-P2_authority,1.0,1.0,1.0,0.5263157894736841,0.5263157894736841,0.5263157894736841,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,50,STATIC-P3_fabricated_consensus,1.0,1.0,1.0,0.26315789473684204,0.26315789473684204,0.26315789473684204,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,50,STATIC-P4_persistent_multi_turn,1.0,1.0,1.0,0.9473684210526317,0.9473684210526317,0.9473684210526317,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,50,STATIC-random-family,1.0,1.0,1.0,0.45434210526315794,0.4214473684210526,0.48460855263157904,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,50,STATIC-round-robin,1.0,1.0,1.0,0.6472368421052633,0.6438157894736842,0.6503980263157896,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,75,ADAPTIVE-escalation,1.0,1.0,1.0,0.9473684210526317,0.9473684210526317,0.9473684210526317,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,75,ADAPTIVE-thompson,1.0,1.0,1.0,0.9473684210526317,0.9473684210526317,0.9473684210526317,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,75,ORACLE,1.0,1.0,1.0,0.9473684210526317,0.9473684210526317,0.9473684210526317,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,75,STATIC-P1_simple_doubt,1.0,1.0,1.0,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,75,STATIC-P2_authority,1.0,1.0,1.0,0.5263157894736841,0.5263157894736841,0.5263157894736841,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,75,STATIC-P3_fabricated_consensus,1.0,1.0,1.0,0.26315789473684204,0.26315789473684204,0.26315789473684204,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,75,STATIC-P4_persistent_multi_turn,1.0,1.0,1.0,0.9473684210526317,0.9473684210526317,0.9473684210526317,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,75,STATIC-random-family,1.0,1.0,1.0,0.45434210526315794,0.4214473684210526,0.48460855263157904,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,75,STATIC-round-robin,1.0,1.0,1.0,0.8093421052631578,0.8039473684210526,0.8142105263157895,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,100,ADAPTIVE-escalation,1.0,1.0,1.0,0.9473684210526317,0.9473684210526317,0.9473684210526317,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,100,ADAPTIVE-thompson,1.0,1.0,1.0,0.9473684210526317,0.9473684210526317,0.9473684210526317,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,100,ORACLE,1.0,1.0,1.0,0.9473684210526317,0.9473684210526317,0.9473684210526317,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,100,STATIC-P1_simple_doubt,1.0,1.0,1.0,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,100,STATIC-P2_authority,1.0,1.0,1.0,0.5263157894736841,0.5263157894736841,0.5263157894736841,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,100,STATIC-P3_fabricated_consensus,1.0,1.0,1.0,0.26315789473684204,0.26315789473684204,0.26315789473684204,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,100,STATIC-P4_persistent_multi_turn,1.0,1.0,1.0,0.9473684210526317,0.9473684210526317,0.9473684210526317,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,100,STATIC-random-family,1.0,1.0,1.0,0.45434210526315794,0.4214473684210526,0.48460855263157904,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,100,STATIC-round-robin,1.0,1.0,1.0,0.9473684210526317,0.9473684210526317,0.9473684210526317,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,150,ADAPTIVE-escalation,1.0,1.0,1.0,0.9473684210526317,0.9473684210526317,0.9473684210526317,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,150,ADAPTIVE-thompson,1.0,1.0,1.0,0.9473684210526317,0.9473684210526317,0.9473684210526317,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,150,ORACLE,1.0,1.0,1.0,0.9473684210526317,0.9473684210526317,0.9473684210526317,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,150,STATIC-P1_simple_doubt,1.0,1.0,1.0,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,150,STATIC-P2_authority,1.0,1.0,1.0,0.5263157894736841,0.5263157894736841,0.5263157894736841,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,150,STATIC-P3_fabricated_consensus,1.0,1.0,1.0,0.26315789473684204,0.26315789473684204,0.26315789473684204,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,150,STATIC-P4_persistent_multi_turn,1.0,1.0,1.0,0.9473684210526317,0.9473684210526317,0.9473684210526317,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,150,STATIC-random-family,1.0,1.0,1.0,0.45434210526315794,0.4214473684210526,0.48460855263157904,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,150,STATIC-round-robin,1.0,1.0,1.0,0.9473684210526317,0.9473684210526317,0.9473684210526317,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,200,ADAPTIVE-escalation,1.0,1.0,1.0,0.9473684210526317,0.9473684210526317,0.9473684210526317,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,200,ADAPTIVE-thompson,1.0,1.0,1.0,0.9473684210526317,0.9473684210526317,0.9473684210526317,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,200,ORACLE,1.0,1.0,1.0,0.9473684210526317,0.9473684210526317,0.9473684210526317,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,200,STATIC-P1_simple_doubt,1.0,1.0,1.0,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,200,STATIC-P2_authority,1.0,1.0,1.0,0.5263157894736841,0.5263157894736841,0.5263157894736841,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,200,STATIC-P3_fabricated_consensus,1.0,1.0,1.0,0.26315789473684204,0.26315789473684204,0.26315789473684204,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,200,STATIC-P4_persistent_multi_turn,1.0,1.0,1.0,0.9473684210526317,0.9473684210526317,0.9473684210526317,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,200,STATIC-random-family,1.0,1.0,1.0,0.45434210526315794,0.4214473684210526,0.48460855263157904,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,intervention,200,STATIC-round-robin,1.0,1.0,1.0,0.9473684210526317,0.9473684210526317,0.9473684210526317,0.9473684210526315
Qwen/Qwen2.5-1.5B-Instruct,no_intervention,5,ADAPTIVE-escalation,0.29,0.2475,0.3325,0.014500000000000002,0.012375,0.016625,1.0
Qwen/Qwen2.5-1.5B-Instruct,no_intervention,5,ADAPTIVE-thompson,0.865,0.8325,0.895,0.07575000000000001,0.071246875,0.08012812500000001,1.0
Qwen/Qwen2.5-1.5B-Instruct,no_intervention,5,ORACLE,1.0,1.0,1.0,0.25,0.25,0.25,1.0
Qwen/Qwen2.5-1.5B-Instruct,no_intervention,5,STATIC-P1_simple_doubt,0.29,0.2475,0.3325,0.014500000000000002,0.012375,0.016625,1.0
