setting,target,budget,arm,n,detect,lo,hi,mean_iters
llama-2-7b-chat_joined-only,llama-2-7b-chat,1,FIXED-SPLIT,50,0.0,0.0,0.0,1.0
llama-2-7b-chat_joined-only,llama-2-7b-chat,1,LADDER,50,0.0,0.0,0.0,1.0
llama-2-7b-chat_joined-only,llama-2-7b-chat,1,ORACLE,50,0.0,0.0,0.0,1.0
llama-2-7b-chat_joined-only,llama-2-7b-chat,1,STATIC-d0,50,0.0,0.0,0.0,1.0
llama-2-7b-chat_joined-only,llama-2-7b-chat,1,STATIC-d1,50,0.0,0.0,0.0,1.0
llama-2-7b-chat_joined-only,llama-2-7b-chat,2,FIXED-SPLIT,50,0.0,0.0,0.0,2.0
llama-2-7b-chat_joined-only,llama-2-7b-chat,2,LADDER,50,0.0,0.0,0.0,2.0
llama-2-7b-chat_joined-only,llama-2-7b-chat,2,ORACLE,50,0.62,0.48,0.76,2.0
llama-2-7b-chat_joined-only,llama-2-7b-chat,2,STATIC-d0,50,0.0,0.0,0.0,2.0
llama-2-7b-chat_joined-only,llama-2-7b-chat,2,STATIC-d1,50,0.62,0.48,0.76,2.0
llama-2-7b-chat_joined-only,llama-2-7b-chat,3,FIXED-SPLIT,50,0.62,0.48,0.76,3.0
llama-2-7b-chat_joined-only,llama-2-7b-chat,3,LADDER,50,0.62,0.48,0.76,3.0
llama-2-7b-chat_joined-only,llama-2-7b-chat,3,ORACLE,50,0.62,0.48,0.76,2.38
llama-2-7b-chat_joined-only,llama-2-7b-chat,3,STATIC-d0,50,0.0,0.0,0.0,3.0
llama-2-7b-chat_joined-only,llama-2-7b-chat,3,STATIC-d1,50,0.62,0.48,0.76,2.38
llama-2-7b-chat_joined-only,llama-2-7b-chat,5,FIXED-SPLIT,50,0.62,0.48,0.76,4.38
llama-2-7b-chat_joined-only,llama-2-7b-chat,5,LADDER,50,0.62,0.48,0.76,4.38
llama-2-7b-chat_joined-only,llama-2-7b-chat,5,ORACLE,50,0.62,0.48,0.76,3.14
llama-2-7b-chat_joined-only,llama-2-7b-chat,5,STATIC-d0,50,0.0,0.0,0.0,5.0
llama-2-7b-chat_joined-only,llama-2-7b-chat,5,STATIC-d1,50,0.62,0.48,0.76,3.14
llama-2-7b-chat_joined-only,llama-2-7b-chat,8,FIXED-SPLIT,50,0.62,0.48,0.76,6.76
llama-2-7b-chat_joined-only,llama-2-7b-chat,8,LADDER,50,0.62,0.48,0.76,6.76
llama-2-7b-chat_joined-only,llama-2-7b-chat,8,ORACLE,50,0.62,0.48,0.76,4.28
llama-2-7b-chat_joined-only,llama-2-7b-chat,8,STATIC-d0,50,0.0,0.0,0.0,8.0
llama-2-7b-chat_joined-only,llama-2-7b-chat,8,STATIC-d1,50,0.62,0.48,0.76,4.28
llama-2-7b-chat_joined-only,llama-2-7b-chat,12,FIXED-SPLIT,50,0.62,0.48,0.76,9.52
llama-2-7b-chat_joined-only,llama-2-7b-chat,12,LADDER,50,0.62,0.48,0.76,9.52
llama-2-7b-chat_joined-only,llama-2-7b-chat,12,ORACLE,50,0.62,0.48,0.76,5.8
llama-2-7b-chat_joined-only,llama-2-7b-chat,12,STATIC-d0,50,0.0,0.0,0.0,12.0
llama-2-7b-chat_joined-only,llama-2-7b-chat,12,STATIC-d1,50,0.62,0.48,0.76,5.78
llama-2-7b-chat_joined-only,llama-2-7b-chat,20,FIXED-SPLIT,50,0.62,0.48,0.76,15.04
llama-2-7b-chat_joined-only,llama-2-7b-chat,20,LADDER,50,0.62,0.48,0.76,13.44
llama-2-7b-chat_joined-only,llama-2-7b-chat,20,ORACLE,50,0.64,0.5,0.78,8.78
llama-2-7b-chat_joined-only,llama-2-7b-chat,20,STATIC-d0,50,0.0,0.0,0.0,19.96
llama-2-7b-chat_joined-only,llama-2-7b-chat,20,STATIC-d1,50,0.64,0.5,0.78,8.6
llama-2-7b-chat_joined-only,llama-2-7b-chat,35,FIXED-SPLIT,50,0.64,0.5,0.78,24.92
llama-2-7b-chat_joined-only,llama-2-7b-chat,35,LADDER,50,0.64,0.5,0.78,19.02
llama-2-7b-chat_joined-only,llama-2-7b-chat,35,ORACLE,50,0.88,0.78,0.96,13.46
llama-2-7b-chat_joined-only,llama-2-7b-chat,35,STATIC-d0,50,0.0,0.0,0.0,34.66
llama-2-7b-chat_joined-only,llama-2-7b-chat,35,STATIC-d1,50,0.88,0.78,0.96,12.98
llama-2-7b-chat_joined-only,llama-2-7b-chat,60,FIXED-SPLIT,50,0.64,0.5,0.78,41.76
llama-2-7b-chat_joined-only,llama-2-7b-chat,60,LADDER,50,0.92,0.84,0.98,22.22
llama-2-7b-chat_joined-only,llama-2-7b-chat,60,ORACLE,50,0.98,0.92,1.0,15.44
llama-2-7b-chat_joined-only,llama-2-7b-chat,60,STATIC-d0,50,0.0,0.0,0.0,59.16
llama-2-7b-chat_joined-only,llama-2-7b-chat,60,STATIC-d1,50,0.98,0.92,1.0,14.46
llama-2-7b-chat_joined-only,llama-2-7b-chat,100,FIXED-SPLIT,50,0.92,0.84,0.98,63.4
llama-2-7b-chat_joined-only,llama-2-7b-chat,100,LADDER,50,0.98,0.92,1.0,22.44
llama-2-7b-chat_joined-only,llama-2-7b-chat,100,ORACLE,50,0.98,0.92,1.0,16.24
llama-2-7b-chat_joined-only,llama-2-7b-chat,100,STATIC-d0,50,0.0,0.0,0.0,98.36
llama-2-7b-chat_joined-only,llama-2-7b-chat,100,STATIC-d1,50,0.98,0.92,1.0,14.46
llama-2-7b-chat_joined-only,llama-2-7b-chat,200,FIXED-SPLIT,50,0.98,0.92,1.0,112.82
llama-2-7b-chat_joined-only,llama-2-7b-chat,200,LADDER,50,0.98,0.92,1.0,22.44
llama-2-7b-chat_joined-only,llama-2-7b-chat,200,ORACLE,50,0.98,0.92,1.0,18.24
llama-2-7b-chat_joined-only,llama-2-7b-chat,200,STATIC-d0,50,0.0,0.0,0.0,194.0
llama-2-7b-chat_joined-only,llama-2-7b-chat,200,STATIC-d1,50,0.98,0.92,1.0,14.46
llama-2-7b-chat_joined-only,llama-2-7b-chat,500,FIXED-SPLIT,50,0.98,0.92,1.0,253.3
llama-2-7b-chat_joined-only,llama-2-7b-chat,500,LADDER,50,0.98,0.92,1.0,22.44
llama-2-7b-chat_joined-only,llama-2-7b-chat,500,ORACLE,50,0.98,0.92,1.0,24.24
llama-2-7b-chat_joined-only,llama-2-7b-chat,500,STATIC-d0,50,0.0,0.0,0.0,453.54
llama-2-7b-chat_joined-only,llama-2-7b-chat,500,STATIC-d1,50,0.98,0.92,1.0,14.46
llama-2-7b-chat_joined-only,llama-2-7b-chat,1000,FIXED-SPLIT,50,0.98,0.92,1.0,468.0
llama-2-7b-chat_joined-only,llama-2-7b-chat,1000,LADDER,50,0.98,0.92,1.0,22.44
llama-2-7b-chat_joined-only,llama-2-7b-chat,1000,ORACLE,50,0.98,0.92,1.0,34.24
llama-2-7b-chat_joined-only,llama-2-7b-chat,1000,STATIC-d0,50,0.0,0.0,0.0,857.94
llama-2-7b-chat_joined-only,llama-2-7b-chat,1000,STATIC-d1,50,0.98,0.92,1.0,14.46
llama-2-7b-chat_joined-only,llama-2-7b-chat,2500,FIXED-SPLIT,50,0.98,0.92,1.0,1068.52
llama-2-7b-chat_joined-only,llama-2-7b-chat,2500,LADDER,50,0.98,0.92,1.0,22.44
llama-2-7b-chat_joined-only,llama-2-7b-chat,2500,ORACLE,50,0.98,0.92,1.0,64.24
llama-2-7b-chat_joined-only,llama-2-7b-chat,2500,STATIC-d0,50,0.0,0.0,0.0,2029.06
llama-2-7b-chat_joined-only,llama-2-7b-chat,2500,STATIC-d1,50,0.98,0.92,1.0,14.46
llama-2-7b-chat_joined-only,llama-2-7b-chat,5000,FIXED-SPLIT,50,0.98,0.92,1.0,2043.52
llama-2-7b-chat_joined-only,llama-2-7b-chat,5000,LADDER,50,0.98,0.92,1.0,22.44
llama-2-7b-chat_joined-only,llama-2-7b-chat,5000,ORACLE,50,0.98,0.92,1.0,114.24
llama-2-7b-chat_joined-only,llama-2-7b-chat,5000,STATIC-d0,50,0.0,0.0,0.0,3785.48
llama-2-7b-chat_joined-only,llama-2-7b-chat,5000,STATIC-d1,50,0.98,0.92,1.0,14.46
llama-2-7b-chat_joined-only,llama-2-7b-chat,10000,FIXED-SPLIT,50,0.98,0.92,1.0,3799.94
llama-2-7b-chat_joined-only,llama-2-7b-chat,10000,LADDER,50,0.98,0.92,1.0,22.44
llama-2-7b-chat_joined-only,llama-2-7b-chat,10000,ORACLE,50,0.98,0.92,1.0,214.24
llama-2-7b-chat_joined-only,llama-2-7b-chat,10000,STATIC-d0,50,0.0,0.0,0.0,6735.24
llama-2-7b-chat_joined-only,llama-2-7b-chat,10000,STATIC-d1,50,0.98,0.92,1.0,14.46
llama-2-7b-chat,llama-2-7b-chat,1,FIXED-SPLIT,50,0.0,0.0,0.0,1.0
llama-2-7b-chat,llama-2-7b-chat,1,LADDER,50,0.0,0.0,0.0,1.0
llama-2-7b-chat,llama-2-7b-chat,1,ORACLE,50,0.0,0.0,0.0,1.0
