patience,tau,extend,budget,ladder,fixed_split,delta
2,0.05,1.0,12,0.8,0.8,0.0
2,0.05,1.0,60,0.86,0.84,0.020000000000000018
2,0.05,1.0,200,1.0,1.0,0.0
2,0.05,1.0,1000,1.0,1.0,0.0
2,0.05,3.0,12,0.54,0.8,-0.26
2,0.05,3.0,60,0.9,0.84,0.06000000000000005
2,0.05,3.0,200,1.0,1.0,0.0
2,0.05,3.0,1000,1.0,1.0,0.0
2,0.05,10.0,12,0.54,0.8,-0.26
2,0.05,10.0,60,0.9,0.84,0.06000000000000005
2,0.05,10.0,200,0.98,1.0,-0.020000000000000018
2,0.05,10.0,1000,1.0,1.0,0.0
2,0.3,1.0,12,0.8,0.8,0.0
2,0.3,1.0,60,0.86,0.84,0.020000000000000018
2,0.3,1.0,200,0.94,1.0,-0.06000000000000005
2,0.3,1.0,1000,0.94,1.0,-0.06000000000000005
2,0.3,3.0,12,0.7,0.8,-0.10000000000000009
2,0.3,3.0,60,0.92,0.84,0.08000000000000007
2,0.3,3.0,200,0.94,1.0,-0.06000000000000005
2,0.3,3.0,1000,0.94,1.0,-0.06000000000000005
2,0.3,10.0,12,0.7,0.8,-0.10000000000000009
2,0.3,10.0,60,0.92,0.84,0.08000000000000007
2,0.3,10.0,200,0.94,1.0,-0.06000000000000005
2,0.3,10.0,1000,0.94,1.0,-0.06000000000000005
2,0.7,1.0,12,0.8,0.8,0.0
2,0.7,1.0,60,0.86,0.84,0.020000000000000018
2,0.7,1.0,200,0.88,1.0,-0.12
2,0.7,1.0,1000,0.88,1.0,-0.12
2,0.7,3.0,12,0.8,0.8,0.0
2,0.7,3.0,60,0.86,0.84,0.020000000000000018
2,0.7,3.0,200,0.88,1.0,-0.12
2,0.7,3.0,1000,0.88,1.0,-0.12
2,0.7,10.0,12,0.8,0.8,0.0
2,0.7,10.0,60,0.86,0.84,0.020000000000000018
2,0.7,10.0,200,0.88,1.0,-0.12
2,0.7,10.0,1000,0.88,1.0,-0.12
5,0.05,1.0,12,0.8,0.8,0.0
5,0.05,1.0,60,0.86,0.84,0.020000000000000018
5,0.05,1.0,200,1.0,1.0,0.0
5,0.05,1.0,1000,1.0,1.0,0.0
5,0.05,3.0,12,0.54,0.8,-0.26
5,0.05,3.0,60,0.88,0.84,0.040000000000000036
5,0.05,3.0,200,1.0,1.0,0.0
5,0.05,3.0,1000,1.0,1.0,0.0
5,0.05,10.0,12,0.54,0.8,-0.26
5,0.05,10.0,60,0.88,0.84,0.040000000000000036
5,0.05,10.0,200,0.96,1.0,-0.040000000000000036
5,0.05,10.0,1000,1.0,1.0,0.0
5,0.3,1.0,12,0.8,0.8,0.0
5,0.3,1.0,60,0.86,0.84,0.020000000000000018
5,0.3,1.0,200,0.94,1.0,-0.06000000000000005
5,0.3,1.0,1000,0.94,1.0,-0.06000000000000005
5,0.3,3.0,12,0.7,0.8,-0.10000000000000009
5,0.3,3.0,60,0.92,0.84,0.08000000000000007
5,0.3,3.0,200,0.94,1.0,-0.06000000000000005
5,0.3,3.0,1000,0.94,1.0,-0.06000000000000005
5,0.3,10.0,12,0.7,0.8,-0.10000000000000009
5,0.3,10.0,60,0.92,0.84,0.08000000000000007
5,0.3,10.0,200,0.94,1.0,-0.06000000000000005
5,0.3,10.0,1000,0.94,1.0,-0.06000000000000005
5,0.7,1.0,12,0.8,0.8,0.0
5,0.7,1.0,60,0.86,0.84,0.020000000000000018
5,0.7,1.0,200,0.88,1.0,-0.12
5,0.7,1.0,1000,0.88,1.0,-0.12
5,0.7,3.0,12,0.8,0.8,0.0
5,0.7,3.0,60,0.86,0.84,0.020000000000000018
5,0.7,3.0,200,0.88,1.0,-0.12
