config,t,n_live,base_rate,auc,mean_signal
gemma-7b,1,50,0.84,0.5,0.0
gemma-7b,2,50,0.84,0.8169642857142857,0.8660842
gpt3.5_turbo,1,50,0.64,0.5,0.0
gpt3.5_turbo,2,50,0.64,0.4192708333333333,0.7476186000000001
gpt3.5_turbo,3,18,0.4444444444444444,0.33125,0.8014005555555556
gpt4_turbo,1,20,0.15,0.5,0.0
gpt4_turbo,2,20,0.15,0.9607843137254902,0.41353350000000005
gpt4_turbo,3,13,0.07692307692307693,0.9166666666666666,0.3375846153846153
gpt4_turbo,5,11,0.0,,0.3086154545454545
gpt4_turbo,10,10,0.0,,0.43354800000000004
llama2-13b,1,50,1.0,,0.0
llama2-13b,2,50,1.0,,0.5744001999999999
llama2-13b,3,8,1.0,,0.19222999999999998
llama2-13b,5,8,1.0,,0.19222999999999998
llama2-13b,10,8,1.0,,0.19404249999999998
llama2-13b_icl_one_shot,1,50,0.22,0.5,0.0
llama2-13b_icl_one_shot,2,50,0.22,0.48484848484848486,0.022348600000000003
llama2-13b_icl_one_shot,3,50,0.22,0.6923076923076923,0.0380416
llama2-13b_icl_one_shot,5,46,0.1956521739130435,0.6726726726726727,0.034175652173913044
llama2-13b_icl_one_shot,10,46,0.1956521739130435,0.6726726726726727,0.03443
llama2-13b_icl_one_shot,25,45,0.2,0.6944444444444444,0.039925777777777775
llama2-13b_icl_one_shot,50,39,0.1794871794871795,0.5892857142857143,0.051335128205128214
llama2-13b_icl_one_shot,100,36,0.19444444444444445,0.6502463054187192,0.053145833333333344
llama2-13b_icl_one_shot,250,18,0.16666666666666666,0.6666666666666666,0.05733055555555555
llama2-70b,1,50,1.0,,0.0
llama2-70b,2,50,1.0,,0.5218756
llama2-70b,3,20,1.0,,0.31375349999999996
llama2-70b,5,20,1.0,,0.31375349999999996
llama2-70b,10,20,1.0,,0.31377849999999996
llama2-70b,25,19,1.0,,0.31424473684210524
llama2-70b,50,19,1.0,,0.3186568421052631
llama2-70b,100,14,1.0,,0.3109321428571428
llama2-70b,250,8,1.0,,0.2891725
llama2-7b_icl_one_shot,1,50,0.66,0.5,0.0
llama2-7b_icl_one_shot,2,50,0.66,0.7736185383244206,0.27901919999999997
llama2-7b_icl_one_shot,3,23,0.34782608695652173,0.14166666666666666,0.10915478260869567
llama2-7b_icl_one_shot,5,23,0.34782608695652173,0.19166666666666668,0.11529304347826087
llama2-7b_icl_one_shot,10,21,0.3333333333333333,0.17346938775510204,0.11326190476190476
llama2-7b_icl_one_shot,25,19,0.3684210526315789,0.2976190476190476,0.12210578947368421
llama2-7b_icl_one_shot,50,16,0.375,0.3333333333333333,0.12046375000000001
llama2-7b_icl_one_shot,100,15,0.4,0.42592592592592593,0.12006800000000001
llama2-7b_icl_one_shot,250,9,0.3333333333333333,0.5,0.15271444444444449
llama2-7b_plain_init,1,50,0.0,,0.0
llama2-7b_plain_init,2,50,0.0,,0.0207024
llama2-7b_plain_init,3,50,0.0,,0.0207024
llama2-7b_plain_init,5,50,0.0,,0.0207024
llama2-7b_plain_init,10,50,0.0,,0.0209944
llama2-7b_plain_init,25,49,0.0,,0.016809183673469386
llama2-7b_plain_init,50,49,0.0,,0.022935510204081633
llama2-7b_plain_init,100,49,0.0,,0.03905081632653062
llama2-7b_plain_init,250,44,0.0,,0.0467390909090909
llama2_7b,1,51,0.9607843137254902,0.5,0.0
llama2_7b,2,51,0.9607843137254902,0.2755102040816326,0.39866352941176475
llama2_7b,3,19,0.9473684210526315,0.0,0.2804768421052632
llama2_7b,5,19,0.9473684210526315,0.0,0.2804768421052632
llama2_7b,10,19,0.9473684210526315,0.0,0.28097315789473687
llama2_7b,25,17,1.0,,0.27061999999999997
llama3-8b,1,50,0.44,0.5,0.0
llama3-8b,2,50,0.44,1.0,0.39601660000000005
llama3-8b,3,28,0.0,,0.08479714285714286
llama3-8b,5,28,0.0,,0.08479714285714286
llama3-8b,10,28,0.0,,0.08860535714285714
llama3-8b,25,28,0.0,,0.10775964285714287
llama3-8b,50,26,0.0,,0.12100961538461538
llama3-8b,100,16,0.0,,0.103424375
llama3-8b,250,10,0.0,,0.045856999999999995
mistral-7b_simplified_template,1,50,0.76,0.5,0.0
mistral-7b_simplified_template,2,50,0.76,0.6359649122807017,0.077804
mistral-7b_simplified_template,3,49,0.7551020408163265,0.5630630630630631,0.09333061224489796
mistral-7b_simplified_template,5,46,0.7608695652173914,0.4857142857142857,0.11174282608695651
mistral-7b_simplified_template,10,40,0.775,0.4767025089605735,0.07597374999999999
mistral-7b_simplified_template,25,38,0.8157894736842105,0.7649769585253456,0.1574471052631579
mistral-7b_simplified_template,50,27,0.8518518518518519,0.7282608695652174,0.18571925925925925
mistral-7b_simplified_template,100,16,0.875,0.5,0.211223125
phi3,1,50,0.88,0.5,0.0
phi3,2,50,0.88,0.36553030303030304,0.7862322
phi3,3,14,0.7857142857142857,0.21212121212121213,0.6513992857142857
phi3,5,8,0.75,0.0,0.6748812500000001
r2d2,1,50,1.0,,0.0
r2d2,2,50,1.0,,0.5193706
r2d2,3,11,1.0,,0.09293363636363637
vicuna,1,50,0.98,0.5,0.0
vicuna,2,50,0.98,0.12244897959183673,0.7891488
