model,budget,arm,mean,lo,hi
gpt-3.5-turbo-1106,25,ADAPTIVE-escal+thompson,0.19026666666666667,0.1877658333333333,0.19276666666666664
gpt-3.5-turbo-1106,25,ADAPTIVE-escalation,0.11636666666666666,0.1138,0.11900000000000001
gpt-3.5-turbo-1106,25,ADAPTIVE-succ-halving,0.16846666666666665,0.16606666666666664,0.17073416666666666
gpt-3.5-turbo-1106,25,ADAPTIVE-thompson,0.18326666666666663,0.18056499999999998,0.18576666666666666
gpt-3.5-turbo-1106,25,ORACLE,0.25,0.25,0.25
gpt-3.5-turbo-1106,25,STATIC-best-method(oracle),0.23279999999999995,0.23159999999999997,0.23419999999999996
gpt-3.5-turbo-1106,25,STATIC-round-robin,0.11636666666666666,0.1138,0.11900000000000001
gpt-3.5-turbo-1106,25,STATIC-single-method,0.13686666666666666,0.12683000000000003,0.14613583333333333
gpt-3.5-turbo-1106,50,ADAPTIVE-escal+thompson,0.40856666666666663,0.405,0.41200083333333337
gpt-3.5-turbo-1106,50,ADAPTIVE-escalation,0.23579999999999998,0.23326583333333328,0.23846833333333337
gpt-3.5-turbo-1106,50,ADAPTIVE-succ-halving,0.34136666666666665,0.338465,0.3440675
gpt-3.5-turbo-1106,50,ADAPTIVE-thompson,0.38643333333333335,0.382165,0.39033416666666665
gpt-3.5-turbo-1106,50,ORACLE,0.5,0.5,0.5
gpt-3.5-turbo-1106,50,STATIC-best-method(oracle),0.46586666666666665,0.46443333333333325,0.4673666666666666
gpt-3.5-turbo-1106,50,STATIC-round-robin,0.23579999999999998,0.23326583333333328,0.23846833333333337
gpt-3.5-turbo-1106,50,STATIC-single-method,0.2738333333333333,0.25443333333333334,0.2926333333333333
gpt-3.5-turbo-1106,100,ADAPTIVE-escal+thompson,0.8589666666666667,0.8546,0.8629
gpt-3.5-turbo-1106,100,ADAPTIVE-escalation,0.4699999999999998,0.4699999999999998,0.4699999999999998
gpt-3.5-turbo-1106,100,ADAPTIVE-succ-halving,0.6305,0.6273641666666667,0.6335666666666666
gpt-3.5-turbo-1106,100,ADAPTIVE-thompson,0.7913,0.7832641666666668,0.7991358333333334
gpt-3.5-turbo-1106,100,ORACLE,0.95,0.95,0.95
gpt-3.5-turbo-1106,100,STATIC-best-method(oracle),0.93,0.93,0.93
gpt-3.5-turbo-1106,100,STATIC-round-robin,0.4699999999999998,0.4699999999999998,0.4699999999999998
gpt-3.5-turbo-1106,100,STATIC-single-method,0.5450666666666666,0.5068666666666667,0.5822350000000001
gpt-3.5-turbo-1106,150,ADAPTIVE-escal+thompson,0.95,0.95,0.95
gpt-3.5-turbo-1106,150,ADAPTIVE-escalation,0.4699999999999998,0.4699999999999998,0.4699999999999998
gpt-3.5-turbo-1106,150,ADAPTIVE-succ-halving,0.8652333333333331,0.8627999999999999,0.8675333333333333
gpt-3.5-turbo-1106,150,ADAPTIVE-thompson,0.9367999999999999,0.9352991666666663,0.9381016666666667
gpt-3.5-turbo-1106,150,ORACLE,0.95,0.95,0.95
gpt-3.5-turbo-1106,150,STATIC-best-method(oracle),0.93,0.93,0.93
gpt-3.5-turbo-1106,150,STATIC-round-robin,0.4699999999999998,0.4699999999999998,0.4699999999999998
gpt-3.5-turbo-1106,150,STATIC-single-method,0.5450666666666666,0.5068666666666667,0.5822350000000001
gpt-3.5-turbo-1106,200,ADAPTIVE-escal+thompson,0.95,0.95,0.95
gpt-3.5-turbo-1106,200,ADAPTIVE-escalation,0.7714333333333333,0.7702333333333333,0.7726333333333334
gpt-3.5-turbo-1106,200,ADAPTIVE-succ-halving,0.9399666666666667,0.9385333333333333,0.9410333333333334
gpt-3.5-turbo-1106,200,ADAPTIVE-thompson,0.9470000000000001,0.9464666666666669,0.9475666666666666
gpt-3.5-turbo-1106,200,ORACLE,0.95,0.95,0.95
gpt-3.5-turbo-1106,200,STATIC-best-method(oracle),0.93,0.93,0.93
gpt-3.5-turbo-1106,200,STATIC-round-robin,0.4699999999999998,0.4699999999999998,0.4699999999999998
gpt-3.5-turbo-1106,200,STATIC-single-method,0.5450666666666666,0.5068666666666667,0.5822350000000001
gpt-3.5-turbo-1106,300,ADAPTIVE-escal+thompson,0.95,0.95,0.95
gpt-3.5-turbo-1106,300,ADAPTIVE-escalation,0.95,0.95,0.95
gpt-3.5-turbo-1106,300,ADAPTIVE-succ-halving,0.9457666666666668,0.9451333333333332,0.9464008333333332
gpt-3.5-turbo-1106,300,ADAPTIVE-thompson,0.95,0.95,0.95
gpt-3.5-turbo-1106,300,ORACLE,0.95,0.95,0.95
gpt-3.5-turbo-1106,300,STATIC-best-method(oracle),0.93,0.93,0.93
gpt-3.5-turbo-1106,300,STATIC-round-robin,0.8100000000000004,0.8100000000000004,0.8100000000000004
gpt-3.5-turbo-1106,300,STATIC-single-method,0.5450666666666666,0.5068666666666667,0.5822350000000001
gpt-3.5-turbo-1106,400,ADAPTIVE-escal+thompson,0.95,0.95,0.95
gpt-3.5-turbo-1106,400,ADAPTIVE-escalation,0.95,0.95,0.95
gpt-3.5-turbo-1106,400,ADAPTIVE-succ-halving,0.9499333333333334,0.9498333333333335,0.95
gpt-3.5-turbo-1106,400,ADAPTIVE-thompson,0.95,0.95,0.95
gpt-3.5-turbo-1106,400,ORACLE,0.95,0.95,0.95
gpt-3.5-turbo-1106,400,STATIC-best-method(oracle),0.93,0.93,0.93
gpt-3.5-turbo-1106,400,STATIC-round-robin,0.95,0.95,0.95
gpt-3.5-turbo-1106,400,STATIC-single-method,0.5450666666666666,0.5068666666666667,0.5822350000000001
gpt-3.5-turbo-1106,500,ADAPTIVE-escal+thompson,0.95,0.95,0.95
gpt-3.5-turbo-1106,500,ADAPTIVE-escalation,0.95,0.95,0.95
gpt-3.5-turbo-1106,500,ADAPTIVE-succ-halving,0.95,0.95,0.95
gpt-3.5-turbo-1106,500,ADAPTIVE-thompson,0.95,0.95,0.95
gpt-3.5-turbo-1106,500,ORACLE,0.95,0.95,0.95
gpt-3.5-turbo-1106,500,STATIC-best-method(oracle),0.93,0.93,0.93
gpt-3.5-turbo-1106,500,STATIC-round-robin,0.95,0.95,0.95
gpt-3.5-turbo-1106,500,STATIC-single-method,0.5450666666666666,0.5068666666666667,0.5822350000000001
gpt-4-0125-preview,25,ADAPTIVE-escal+thompson,0.14240000000000003,0.138865,0.14593333333333333
gpt-4-0125-preview,25,ADAPTIVE-escalation,0.009566666666666668,0.0086,0.010534166666666666
gpt-4-0125-preview,25,ADAPTIVE-succ-halving,0.12693333333333334,0.12359833333333332,0.12993583333333333
gpt-4-0125-preview,25,ADAPTIVE-thompson,0.1408666666666667,0.1374,0.14446750000000003
gpt-4-0125-preview,25,ORACLE,0.25,0.25,0.25
gpt-4-0125-preview,25,STATIC-best-method(oracle),0.19643333333333332,0.1943658333333333,0.19849999999999998
gpt-4-0125-preview,25,STATIC-round-robin,0.009566666666666668,0.0086,0.010534166666666666
gpt-4-0125-preview,25,STATIC-single-method,0.07693333333333333,0.06803166666666667,0.08627083333333332
gpt-4-0125-preview,50,ADAPTIVE-escal+thompson,0.3253333333333333,0.32129749999999996,0.3295675
