config,method,n,frac_defined,coverage,mean_bound,mean_truth,mean_excess
gemma-7b,ADAPTIVE CP,400.0,1.0,1.0,0.914,0.837,0.077
gemma-7b,EXTRAPOLATIVE,400.0,1.0,1.0,0.837,0.837,-0.0
gemma-7b,FIXED-t CP,400.0,1.0,1.0,0.914,0.837,0.077
gemma-7b,UNION-BOUND CP,400.0,1.0,1.0,0.946,0.837,0.109
gpt3.5_turbo,ADAPTIVE CP,400.0,1.0,1.0,0.761,0.651,0.11
gpt3.5_turbo,EXTRAPOLATIVE,400.0,1.0,1.0,0.856,0.651,0.205
gpt3.5_turbo,FIXED-t CP,400.0,1.0,1.0,0.761,0.651,0.11
gpt3.5_turbo,UNION-BOUND CP,400.0,1.0,1.0,0.818,0.651,0.168
gpt4_turbo,ADAPTIVE CP,400.0,1.0,1.0,0.344,0.155,0.19
gpt4_turbo,EXTRAPOLATIVE,400.0,0.975,1.0,0.341,0.155,0.182
gpt4_turbo,FIXED-t CP,400.0,1.0,1.0,0.344,0.155,0.19
gpt4_turbo,UNION-BOUND CP,400.0,1.0,1.0,0.466,0.155,0.311
llama2-13b,ADAPTIVE CP,400.0,1.0,0.0,0.914,1.0,-0.086
llama2-13b,EXTRAPOLATIVE,400.0,1.0,0.0,0.837,1.0,-0.163
llama2-13b,FIXED-t CP,400.0,1.0,0.002,0.943,1.0,-0.057
llama2-13b,UNION-BOUND CP,400.0,1.0,0.0,0.946,1.0,-0.054
llama2-13b_icl_one_shot,ADAPTIVE CP,400.0,1.0,0.04,0.117,0.219,-0.102
llama2-13b_icl_one_shot,EXTRAPOLATIVE,400.0,0.852,0.0,0.046,0.219,-0.18
llama2-13b_icl_one_shot,FIXED-t CP,400.0,1.0,0.162,0.168,0.219,-0.051
llama2-13b_icl_one_shot,UNION-BOUND CP,400.0,1.0,0.25,0.177,0.219,-0.042
llama2-70b,ADAPTIVE CP,400.0,1.0,0.0,0.716,1.0,-0.284
llama2-70b,EXTRAPOLATIVE,400.0,1.0,0.0,0.601,1.0,-0.399
llama2-70b,FIXED-t CP,400.0,1.0,0.0,0.822,1.0,-0.178
llama2-70b,UNION-BOUND CP,400.0,1.0,0.0,0.779,1.0,-0.221
llama2-7b_icl_one_shot,ADAPTIVE CP,400.0,1.0,0.67,0.697,0.664,0.033
llama2-7b_icl_one_shot,EXTRAPOLATIVE,400.0,1.0,0.445,0.614,0.664,-0.05
llama2-7b_icl_one_shot,FIXED-t CP,400.0,1.0,0.535,0.663,0.664,-0.001
llama2-7b_icl_one_shot,UNION-BOUND CP,400.0,1.0,0.922,0.761,0.664,0.097
llama2-7b_plain_init,ADAPTIVE CP,400.0,1.0,1.0,0.058,0.0,0.058
llama2-7b_plain_init,EXTRAPOLATIVE,400.0,0.0,,,0.0,
llama2-7b_plain_init,FIXED-t CP,400.0,1.0,1.0,0.058,0.0,0.058
llama2-7b_plain_init,UNION-BOUND CP,400.0,1.0,1.0,0.109,0.0,0.109
llama2_7b,ADAPTIVE CP,400.0,1.0,0.0,0.719,0.959,-0.239
llama2_7b,EXTRAPOLATIVE,400.0,1.0,0.0,0.605,0.959,-0.353
llama2_7b,FIXED-t CP,400.0,1.0,1.0,0.989,0.959,0.031
llama2_7b,UNION-BOUND CP,400.0,1.0,0.0,0.781,0.959,-0.178
llama3-8b,ADAPTIVE CP,400.0,1.0,1.0,0.57,0.445,0.125
llama3-8b,EXTRAPOLATIVE,400.0,1.0,1.0,0.445,0.445,-0.0
llama3-8b,FIXED-t CP,400.0,1.0,1.0,0.57,0.445,0.125
llama3-8b,UNION-BOUND CP,400.0,1.0,1.0,0.643,0.445,0.198
mistral-7b_simplified_template,ADAPTIVE CP,400.0,1.0,0.825,0.745,0.763,-0.018
mistral-7b_simplified_template,EXTRAPOLATIVE,400.0,1.0,0.838,0.795,0.763,0.032
mistral-7b_simplified_template,FIXED-t CP,400.0,1.0,0.005,0.61,0.763,-0.153
mistral-7b_simplified_template,UNION-BOUND CP,400.0,1.0,0.825,0.793,0.763,0.03
phi3,ADAPTIVE CP,400.0,1.0,1.0,0.943,0.878,0.065
phi3,EXTRAPOLATIVE,400.0,1.0,1.0,0.991,0.878,0.113
phi3,FIXED-t CP,400.0,1.0,1.0,0.943,0.878,0.065
phi3,UNION-BOUND CP,400.0,1.0,1.0,0.967,0.878,0.09
r2d2,ADAPTIVE CP,400.0,1.0,0.4,0.97,1.0,-0.03
r2d2,EXTRAPOLATIVE,400.0,1.0,0.0,0.977,1.0,-0.023
r2d2,FIXED-t CP,400.0,1.0,0.06,0.982,1.0,-0.018
r2d2,UNION-BOUND CP,400.0,1.0,0.4,0.983,1.0,-0.017
vicuna,ADAPTIVE CP,400.0,1.0,1.0,0.996,0.977,0.019
vicuna,EXTRAPOLATIVE,400.0,0.678,1.0,0.966,0.977,-0.0
vicuna,FIXED-t CP,400.0,1.0,1.0,0.996,0.977,0.019
vicuna,UNION-BOUND CP,400.0,1.0,1.0,0.999,0.977,0.022
